"","TITLE","AUTHORS","PMID","YEAR","DOI","JOURNAL","LANGUAGE","COUNTRY","ABSTRACT"
"11","Risk factors associated with COVID-19-associated pulmonary aspergillosis in ICU patients: a French multicentric retrospective cohort.","Dellière, S","33316401",2020,"10.1016/j.cmi.2020.12.005","Clin Microbiol Infect","eng","England","                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":The main objective of this study was to determine the incidence of invasive pulmonary aspergillosis (IPA) in patients with coronavirus disease 2019 (COVID-19) admitted to the intensive care unit (ICU)  and to describe the patient characteristics associated with IPA occurrence and to evaluate its impact on prognosis.                 Label=""METHODS"" NlmCategory=""METHODS"":We conducted a retrospective cohort study including all successive COVID-19 patients  hospitalized in four ICUs  with secondary deterioration and one or more respiratory samples sent to the mycology department. We used a strengthened IPA testing strategy including seven mycological criteria. Patients were classified as probable IPA according to the European Organization for Research and Treatment of Cancer (EORTC)/Mycoses Study Group Education and Research Consortium (MSGERC) classification if immunocompromised  and according to the recent COVID-19-associated IPA classification otherwise.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Probable IPA was diagnosed in 21 out of the 366 COVID-19 patients (5.7%) admitted to the ICU and in the 108 patients (19.4%) who underwent respiratory sampling for deterioration. No significant differences were observed between patients with and without IPA regarding age  gender  medical history and severity on admission and during hospitalization. Treatment with azithromycin for =3 days was associated with the diagnosis of probable IPA (odds ratio 3.1  95% confidence interval 1.1-8.5  p = 0.02). A trend was observed with high-dose dexamethasone and the occurrence of IPA. Overall mortality was higher in the IPA patients (15/21  71.4% versus 32/87  36.8%  p &lt; 0.01).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":IPA is a relatively frequent complication in severe COVID-19 patients and is responsible for increased mortality. Azithromycin  known to have immunomodulatory properties  may contribute to increase COVID-19 patient's susceptibility to IPA. "
"12","Influenza, SARS-CoV-2 and Invasive Pulmonary Aspergillosis.","García Clemente, M","33268140",2020,"10.1016/j.arbres.2020.09.012","Arch Bronconeumol","eng","Spain",""
"13","Secondary infections in patients hospitalized with COVID-19: incidence and predictive factors.","Ripa, M","33223114",2020,"10.1016/j.cmi.2020.10.021","Clin Microbiol Infect","eng","England","                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":The aim of our study was to describe the incidence and predictive factors of secondary infections in patients with coronavirus disease 2019 (COVID-19).                 Label=""METHODS"" NlmCategory=""METHODS"":This was a cohort study of patients hospitalized with COVID-19 at IRCCS San Raffaele Hospital between 25th February and 6th April 2020 (NCT04318366). We considered secondary bloodstream infections (BSIs) or possible lower respiratory tract infections (pLRTIs) occurring 48 hours after hospital admission until death or discharge. We calculated multivariable Fine-Gray models to assess factors associated with risk of secondary infections.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Among 731 patients  a secondary infection was diagnosed in 68 patients (9.3%); 58/731 patients (7.9%) had at least one BSI and 22/731 patients (3.0%) at least one pLRTI. The overall 28-day cumulative incidence was 16.4% (95%CI 12.4-21.0%). Most of the BSIs were due to Gram-positive pathogens (76/106 isolates  71.7%)  specifically coagulase-negative staphylococci (53/76  69.7%)  while among Gram-negatives (23/106  21.7%) Acinetobacter baumanii (7/23  30.4%) and Escherichia coli (5/23  21.7%) predominated. pLRTIs were caused mainly by Gram-negative pathogens (14/26  53.8%). Eleven patients were diagnosed with putative invasive aspergillosis. At multivariable analysis  factors associated with secondary infections were low baseline lymphocyte count (=0.7 versus &gt;0.7 per 109/L  subdistribution hazard ratios (sdHRs) 1.93  95%CI 1.11-3.35)  baseline PaO2/FiO2 (per 100 points lower: sdHRs 1.56  95%CI 1.21-2.04)  and intensive-care unit (ICU) admission in the first 48 hours (sdHR 2.51  95%CI 1.04-6.05).                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Patients hospitalized with COVID-19 had a high incidence of secondary infections. At multivariable analysis  early need for ICU  respiratory failure  and severe lymphopenia were identified as risk factors for secondary infections. "
"14","Prevalence of opportunistic invasive aspergillosis in COVID-19 patients with severe pneumonia.","Segrelles-Calvo, G","33217071",2020,"10.1111/myc.13219","Mycoses","eng","Germany","                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":As the global coronavirus pandemic (COVID-19) spreads across the world  new clinical challenges emerge in the hospital landscape. Among these challenges  the increased risk of coinfections is a major threat to the patients. Although still in a low number  due to the short time of the pandemic  studies that identified a significant number of hospitalised patients with COVID-19 who developed secondary fungal infections that led to serious complications and even death have been published.                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":In this scenario  we aim to determine the prevalence of invasive fungal infections (IFIs) and describe possible associated risk factors in patients admitted due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection.                 Label=""PATIENTS/METHODS"" NlmCategory=""METHODS"":We designed an open prospective observational study at the Rey Juan Carlos University Hospital (Mostoles  Spain)  during the period from February 1 to April 30  2020.                 Label=""RESULTS"" NlmCategory=""RESULTS"":In this article  we reported seven patients with COVID-19-associated pulmonary aspergillosis (CAPA) who had a poor prognosis. Severely ill patients represent a high-risk group; therefore  we must actively investigate the possibility of aspergillosis in all of these patients. Larger cohort studies are needed to unravel the role of COVID-19 immunosuppressive therapy as a risk factor for aspergillosis.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":As the pandemic continues to spread across the world  further reports are needed to assess the frequency of emergent and highly resistant reemergent fungal infections during severe COVID-19. These coinfections are leading a significant number of patients with COVID-19 to death due to complications following the primary viral disease. "
"15","Risk Factors for Invasive Pulmonary Aspergillosis in Critically Ill Patients With Coronavirus Disease 2019-Induced Acute Respiratory Distress Syndrome.","Chauvet, P","33205046",2020,"10.1097/CCE.0000000000000244","Crit Care Explor","eng","United States","Severe coronavirus disease 2019 pneumonia can lead to acute respiratory distress syndrome. Recently  several publications reported on coronavirus disease 2019-associated pulmonary aspergillosis. However  risk factors remain unclear. We retrospectively collected all the cases of coronavirus disease 2019 acute respiratory distress syndrome patients (n = 46) admitted to our 34-bed ICU between March 24  2020  and May 25  2020  and identified six patients that met the diagnosis of invasive pulmonary aspergillosis according to previously established definitions. This population exhibited higher severity scores at admission and less hospital discharge compared with noninvasive pulmonary aspergillosis patients. Chronic obstructive pulmonary disease  malnutrition  and systemic corticosteroid use were identified as risk factors for invasive pulmonary aspergillosis in coronavirus disease 2019-induced acute respiratory distress syndrome patients. Coronavirus disease 2019-associated pulmonary aspergillosis may be a serious concern regarding corticosteroids use to control the inflammatory response of coronavirus disease 2019-induced acute respiratory distress syndrome."
"16","Fungal infection in post-renal transplant patient: Single-center experience.","Gupta, KL","33154310",2020,"10.4103/IJPM.IJPM_306_19","Indian J Pathol Microbiol","eng","India","                 Label=""Introduction"" NlmCategory=""UNASSIGNED"":Fungi are ubiquitous organisms and significantly alter the post-transplant course. They are a major cause of morbidity and mortality and more so in developing countries.                 Label=""Aims"" NlmCategory=""UNASSIGNED"":To study the clinical profile  etiology  risk factors  treatment  and outcome of fungal infections in post-renal transplant recipients.                 Label=""Materials and Methods"" NlmCategory=""UNASSIGNED"":This was a cross-sectional observational retrospective study from January 2014 to June 2017 wherein renal transplant recipients with invasive fungal infection were included and were followed.                 Label=""Results"" NlmCategory=""UNASSIGNED"":Amongst 550 renal transplant recipients  56 (10.2%) patients developed invasive fungal infection. Mean age of patients was 40.61 ± 10.06 (13-66) years and mean duration of acquiring infection post-transplant was 25.33 ± 23.65 (1-96) months. Male to female ratio was 3:1. Fever was the commonest presentation observed in 89.3% patients. Cough (76.8%)  breathlessness (64.3%)  sputum (55.3%)  hypoxia (50%)  and hemoptysis (10.7%) were other common clinical symptoms at presentation. Mean serum creatinine at presentation was 1.70 mg/dl. Most common invasive fungal infection isolated was Mucormycosis 15 (26.7%)  foolwed by Aspergillosis 13 (23.2%)  Pneumocystis jiroveci 12 (21.4%)  Cryptococcus 6 (10.7%)  Candida 4 (7.1%)  Histoplasmosis 3 (5.3%)  Phaeohypomycosis 2 (3.5%)  and 5 (8.9%) patients had undetermined fungal etiology. Twenty (35.7%) patients had evidence of dual infection. Use of antithymocyte globulin 27 (48.2%)  post-transplant diabetes mellitus 18 (32.1%)  Cytomegalovirus (CMV) infection 16 (28.5%)  anti-rejection therapy 9 (16%)  and Hepatitis C infection 7 (12.5%) were some identified risk factors. Ten (17.8%) patients had graft loss and 12 (21.4%) patients died in the study period.                 Label=""Conclusions"" NlmCategory=""UNASSIGNED"":Invasive fungal infection is a serious threat to renal transplant recipients. Patient and graft survival is significantly affected by fungal infection in developing world. "
"17","Clinical Features and Co-Infections in Invasive Pulmonary Aspergillosis in Elderly Patients.","Lao, M","33116671",2020,"10.2147/IDR.S273946","Infect Drug Resist","eng","New Zealand","                 Label=""Introduction"" NlmCategory=""UNASSIGNED"":Invasive pulmonary aspergillosis (IPA) is a potentially lethal opportunistic infection. Old age is one of the important risk factors of IPA. However  data regarding the clinical characteristics and prognostic factors of elderly patients with IPA are limited  with data regarding co-infection of other bacteria or fungi even scarcer.                 Label=""Methods"" NlmCategory=""UNASSIGNED"":We performed a retrospective study of elderly patients (aged=60) with IPA diagnosed in the First Affiliated Hospital of Sun Yat-sen University from January 2000 to December 2019. Data collection included demographic characteristics  premorbid conditions  underlying diseases  clinical manifestations  therapeutic procedures  and pathogenic detection. Associated factors were analyzed by logistic regression analysis.                 Label=""Results"" NlmCategory=""UNASSIGNED"":A total of 97 elderly patients (75 males  22 females) with IPA were included. The all-cause mortality rate was 36.1% (35/97). Body mass index (BMI) (adjusted odds ratio (OR) 1.27  95% confidence interval (CI) 1.08-1.50  P=0.01)  solid organ malignancy (adjusted OR 5.37  95% CI 1.35-21.33  P=0.02)  and co-infections (adjusted OR 5.73  95% CI 1.40-23.51  P=0.02) were associated with mortality in the elderly patients with IPA. Nearly  76.3% (74/97) of the patients developed co-infections. Most of the infections (55/74  74.3%) involved the lung. A total of 77 strains of bacteria were isolated  and Gram-negative bacteria (63/77  81.3%) were predominant. Patients with co-infections are older (72.3±7.6 vs 67.4±7.4  P=0.04)  prone to admit to the intensive care unit (ICU) (59.5% vs 26.1%  P=0.01)  and present lymphopenia (60.8% vs 26.1%  P=0.004). In multivariate analysis  ICU admission (adjusted OR 4.57  95% CI 1.53-13.67  P=0.01)  and lymphopenia (adjusted OR 4.82  95% CI 1.62-14.38  P=0.01) were significantly associated with co-infection in the elderly patients with IPA.                 Label=""Conclusion"" NlmCategory=""UNASSIGNED"":IPA is a fatal disease in the elderly population. Co-infection is closely associated with mortality. Lymphopenia could be an indicator for co-infection in the elderly patients with IPA. "
"18","Anti-glomerular basement membrane (Goodpasture) disease exacerbated by invasive pulmonary aspergillosis.","Willauer, AN","33100545",2020,"10.1080/08998280.2020.1775480","Proc (Bayl Univ Med Cent)","eng","United States","Prior reports have associated the unusual presentations of anti-glomerular basement membrane (anti-GBM) disease and pulmonary aspergillosis in an immunocompetent host. We present the case of a previously healthy 24-year-old man who presented with symptoms of hemoptysis  cough  and dyspnea. His environmental risk factors included tobacco use (smoking)  hydrocarbon exposure  and an unidentified mold present in his home. Laboratory evaluation revealed positive serum anti-GBM autoantibodies and positive detection of galactomannan in the bronchoalveolar lavage fluid. The diagnosis of anti-GBM disease was confirmed with a kidney biopsy. Management included therapy with voriconazole for aspergillosis and prednisone  plasmapheresis  and eventually cyclophosphamide for anti-GBM disease."
"19","Aspergillosis Complicating Severe Coronavirus Disease.","Marr, KA","33084566",2020,"10.3201/eid2701.202896","Emerg Infect Dis","eng","United States","Aspergillosis complicating severe influenza infection has been increasingly detected worldwide. Recently  coronavirus disease-associated pulmonary aspergillosis (CAPA) has been detected through rapid reports  primarily from centers in Europe. We provide a case series of CAPA  adding 20 cases to the literature  with review of pathophysiology  diagnosis  and outcomes. The syndromes of pulmonary aspergillosis complicating severe viral infections are distinct from classic invasive aspergillosis  which is recognized most frequently in persons with neutropenia and in other immunocompromised persons. Combined with severe viral infection  aspergillosis comprises a constellation of airway-invasive and angio-invasive disease and results in risks associated with poor airway fungus clearance and killing  including virus- or inflammation-associated epithelial damage  systemic immunosuppression  and underlying lung disease. Radiologic abnormalities can vary  reflecting different pathologies. Prospective studies reporting poor outcomes in CAPA patients underscore the urgent need for strategies to improve diagnosis  prevention  and therapy."
"20","Invasive Pulmonary Aspergillosis in Patients with SARS-CoV-2 Infection: A Systematic Review of the Literature.","Apostolopoulou, A","33050499",2020,"10.3390/diagnostics10100807","Diagnostics (Basel)","eng","Switzerland","In this systematic review  we investigate the epidemiology  pathogenesis  risk factors  clinical manifestations  diagnosis and treatment of COVID-19-associated pulmonary aspergillosis (CAPA). We identified 85 cases from 22 studies. The frequency of CAPA is currently unknown but ranges between &lt;5% to &gt;30% in different case series; the possibility of colonization rather than invasive disease is the most important confounder. The vast majority of patients with CAPA did not have any of the classic host risk factors  such as immunosuppression from organ transplant or neutropenia  although a significant proportion (46%) had received corticosteroids. Age  pulmonary comorbidities and male sex were associated with higher mortality. Patients treated with voriconazole had numerically lower case-fatality rate. Clinical vigilance for CAPA is advisable in critically ill patients with COVID-19 who are not improving  even those who do not meet classic host criteria for invasive mycoses  especially if they are receiving corticosteroids. A thorough  multi-faceted diagnostic work-up and early initiation of a mold-active triazole may be lifesaving. Further research studies using standardized  uniform definitions of invasive disease and colonization are urgently needed."
"21","Proteome analysis of bronchoalveolar lavage fluids reveals host and fungal proteins highly expressed during invasive pulmonary aspergillosis in mice and humans.","Machata, S","33043780",2020,"10.1080/21505594.2020.1824960","Virulence","eng","United States","Invasive pulmonary aspergillosis (IPA) is a severe infection that is difficult to diagnose due to the ubiquitous presence of fungal spores  the underlying diseases of risk patients  and limitations of currently available markers. In this study  we performed a comprehensive liquid chromatography tandem mass spectrometry (LC-MS/MS)-based identification of host and fungal proteins expressed during IPA in mice and humans. The proteomic analysis of bronchoalveolar lavage samples of individual IPA and control cases allowed the description of common host factors that had significantly increased abundance in both infected animals and IPA patients compared to their controls. Although increased levels of these individual host proteins might not be sufficient to distinguish bacterial from fungal infection  a combination of these markers might be beneficial to improve diagnosis. We also identified 16 fungal proteins that were specifically detected during infection and may be valuable candidates for biomarker evaluation."
