,X,STUDY_ID,REVIEWERS,INCLUDE,TITLE,AUTHORS,PMID,YEAR,DOI,JOURNAL,LANGUAGE,COUNTRY,ABSTRACT
11,55,55,Elena,YES,Influenza-associated aspergillosis in critically-ill patients-a retrospective bicentric cohort study.,"Waldeck, F",32494955,2020,10.1007/s10096-020-03923-7,Eur J Clin Microbiol Infect Dis,eng,Germany,Influenza was recently reported as a risk factor for invasive aspergillosis (IA). We aimed to describe prognostic factors for influenza-associated IA (IAA) and poor outcome and mortality in critically ill patients in Switzerland. All adults with confirmed influenza admitted to the ICU at two Swiss tertiary care centres during the 2017/2018 influenza season were retrospectively evaluated. IAA was defined by clinical  mycological and radiological criteria: a positive galactomannan in bronchoalveolar lavage or histopathological or cultural evidence in respiratory specimens of Aspergillus spp.  any radiological infiltrate and a compatible clinical presentation. Poor outcome was defined as a composite of in-hospital mortality  ICU length of stay (LOS)  invasive ventilation for &gt; 7 days or extracorporeal membrane oxygenation. Of 81 patients with influenza in the ICU  9 (11%) were diagnosed with IAA. All patients with IAA had poor outcome compared to 26 (36%) patients without IAA (p &lt; 0.001). Median ICU-LOS and mortality were 17 vs. 3 days (p &lt; 0.01) and 3/9 (33%) vs. 13/72 (18%; p = 0.37) in patients with vs. without IAA  respectively. Patients with IAA had significantly longer durations of antibiotic therapy  vasoactive support and mechanical ventilation. Aspergillus was the most common respiratory co-pathogen (9/40  22%) followed by classical bacterial co-pathogens. IAA was not associated with classical risk factors. Aspergillus is a common superinfection in critically ill influenza patients associated with poor outcome and longer duration of organ supportive therapies. Given the absence of classical risk factors for aspergillosis  greater awareness is necessary  particularly in those requiring organ supportive therapies.
12,61,61,Elena,YES,Risk factors for development and mortality of invasive pulmonary Aspergillosis in kidney transplantation recipients.,"Seok, H",32279121,2020,10.1007/s10096-020-03871-2,Eur J Clin Microbiol Infect Dis,eng,Germany,Invasive pulmonary aspergillosis (IPA) is a high mortality opportunistic infection among kidney transplant recipients. This study assessed the risk factors and outcomes of IPA after KT. A retrospective study was conducted at a tertiary-care referral hospital in Korea. Electronic medical records of patients diagnosed with IPA after KT between February 1995 and March 2015 were reviewed. The control patients comprised two patients who received KT before and after each IPA case. Twenty-six cases were diagnosed with IPA among 1963 recipients at a median of 58 years old. The most common cause of end-stage renal disease was diabetic nephropathy. The median time to diagnosis was 161 days. Delayed graft function was associated with the development of IPA. The overall 12-week mortality rate of IPA was 57.5%. Serum GM level<U+2009>=<U+2009>2 and BAL GM level<U+2009>=<U+2009>5 were associated with 12-week mortality in the Kaplan-Meier survival analyses. Approximately half of IPA in KT recipients developed during the late posttransplant period (&gt;<U+2009>6 months)  especially after treatment for acute rejection. Careful monitoring for IPA is required in patients with delayed graft function  DM  and who received rejection therapy. Higher serum and BAL GM were associated with 12-week mortality.
13,65,65,Elena,YES,Invasive Pulmonary Aspergillosis in Adults With Avian Influenza A (H7N9) Pneumonia in China: A Retrospective Study.,"Zou, P",32176795,2020,10.1093/infdis/jiz682,J Infect Dis,eng,United States,Cases of severe influenza with Aspergillus infection are commonly reported in patients with severe influenza. However  the epidemiology  risk factors  and outcomes of invasive pulmonary aspergillosis (IPA) in patients with avian influenza A (H7N9) infection remain unclear. We performed a retrospective multicenter cohort study. Data were collected from patients with avian influenza A (H7N9) infection admitted to 17 hospitals across China from February 2013 through February 2018. We found that IPA was diagnosed in 18 (5.4%) of 335 patients; 61.1% of patients with IPA (11 of 18) were identified before or within 2 days after an H7N9 virus-negative result. The median hospital stays in patients with or without IPA were 23.5 and 18 days  respectively (P &lt; .01)  and the median intensive care unit stays  respectively  were 22 and 12 days (P &lt; .01). Smoking in the past year and antibiotic use for &gt;7 days before admission were independently associated with IPA (adjusted odds ratio [95% confidence interval]  6.2 [1.7-26] for smoking and 4.89 [1.0-89] for antibiotic use). These findings provided important insights into the epidemiology and outcomes of IPA in patients with H7N9 infection in China.
14,73,73,Elena,NO,Breakthrough Invasive Fungal Infections in Patients with Acute Myeloid Leukemia.,"Wasylyshyn, A",31939052,2020,10.1007/s11046-019-00418-8,Mycopathologia,eng,Netherlands,"                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":We sought to determine the occurrence  risk factors  effect of antifungal prophylaxis  and outcomes of invasive fungal infections (IFIs) in patients with acute myeloid leukemia (AML).                 Label=""PATIENTS AND METHODS"" NlmCategory=""METHODS"":We performed a retrospective analysis of all adult patients admitted to the University of Michigan Health System for AML over a 3-year period from 2010 to 2013. We determined comorbidities  hematopoietic cell transplant (HCT) status  antifungal prophylaxis  proven and probable IFI  and outcomes at 12 weeks after initiation of appropriate antifungal therapy.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Of 333 patients in our cohort  116 of whom had received a HCT  98 (29%) developed an IFI. Of the 30 (9%) patients who had a proven or probable IFI  18 had breakthrough infection while on micafungin (n<U+2009>=<U+2009>5)  voriconazole (n<U+2009>=<U+2009>4)  posaconazole (n<U+2009>=<U+2009>5)  or fluconazole (n<U+2009>=<U+2009>4). Breakthrough IFIs were due to Aspergillus species (n<U+2009>=<U+2009>11)  other molds (n<U+2009>=<U+2009>4)  and Candida species (n<U+2009>=<U+2009>3). Factors associated with breakthrough IFI were prolonged severe neutropenia (p<U+2009>=<U+2009>.05) and having received tacrolimus (p<U+2009>=<U+2009>.04). Antifungal therapy was successful in 7 of the 18 (39%) patients with breakthrough IFI and 8 of the 12 (67%) patients with non-breakthrough IFI  p<U+2009>=<U+2009>.13. Mortality at 12 weeks was 27%  5 with breakthrough IFI and 3 with non-breakthrough IFI and was associated with prolonged severe neutropenia  p<U+2009>=<U+2009>.04.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Patients with AML remain at risk for IFI despite the use of several different antifungal agents for prophylaxis. Mortality remains high in patients with AML who develop IFI. "
15,76,76,Elena,NO,Treatment with etanercept and low monocyte concentration contribute to the risk of invasive aspergillosis in patients post allogeneic stem cell transplantation.,"Zoran, T",31754120,2019,10.1038/s41598-019-53504-8,Sci Rep,eng,England,Invasive aspergillosis (IA) is a life-threatening complication among allogeneic hematopoietic stem cell transplant (alloSCT) recipients. Despite well known risk factors and different available assays  diagnosis of invasive aspergillosis remains challenging. 103 clinical variables from patients with hematological malignancies and subsequent alloSCT were collected. Associations between collected variables and patients with (n<U+2009>=<U+2009>36) and without IA (n<U+2009>=<U+2009>36) were investigated by applying univariate and multivariable logistic regression. The predictive power of the final model was tested in an independent patient cohort (23 IA cases and 25 control patients). Findings were investigated further by in vitro studies  which analysed the effect of etanercept on A. fumigatus-stimulated macrophages at the gene expression and cytokine secretion. Additionally  the release of C-X-C motif chemokine ligand 10 (CXCL10) in patient sera was studied. Low monocyte concentration (p<U+2009>=<U+2009>4.8<U+2009>×<U+2009>10-06)  severe GvHD of the gut (grade 2-4) (p<U+2009>=<U+2009>1.08<U+2009>×<U+2009>10-02) and etanercept treatment of GvHD (p<U+2009>=<U+2009>3.5<U+2009>×<U+2009>10-03) were significantly associated with IA. Our studies showed that etanercept lowers CXCL10 concentrations in vitro and ex vivo and down-regulates genes involved in immune responses and TNF-alpha signaling. Our study offers clinicians new information regarding risk factors for IA including low monocyte counts and administration of etanercept. After necessary validation  such information may be used for decision making regarding antifungal prophylaxis or closely monitoring patients at risk.
16,77,77,Elena,NO,Invasive Fungal Infections With Good Survival Following Liver Transplant: A Single-Center Experience From a Developing Country.,"Ebrahimi, A",31724926,2019,10.6002/ect.2019.0010,Exp Clin Transplant,eng,Turkey,"                 Label=""OBJECTIVES"":Invasive fungal infection following liver transplant is considered as one of the important factors influencing morbidity and mortality among liver transplant recipients. The aim of the present study was to describe the prevalence of invasive fungal infections and their predisposing factors in a singlecenter cohort of patients who received liver transplant.                 Label=""MATERIALS AND METHODS"":For this study  250 adult patients undergoing orthotopic liver transplant between March 2010 and March 2015 were enrolled. All patients were followed prospectively for infections.                 Label=""RESULTS"":The diagnosis of invasive fungal infection was made in 15 patients (6%). One patient had 2 episodes of fungal infection  and reoperation was performed for 3 patients. Invasive aspergillosis developed in 8 patients (53.3%) followed by Candida species infection in 3 patients (20%) and cryptococcosis in 2 patients (13.3%).The main predisposing factors were renal failure (12/15) and positive history of rejection (11/15). Other risk factors for development of invasive fungal infections were choledochojejunostomy in 3 patients (20%)  bile leaks in 3 patients (20%)  and pretransplant steroid use in 2 patients (11.8%). Two patients (13.3%) died due to invasive fungal infections.                 Label=""CONCLUSIONS"":In this single-center series of liver transplant recipients  the incidence of invasive fungal infections was relatively low  probably due to the universal prophylaxis with fluconazole and limited use of the broad-spectrum antibiotics. Early diagnosis and treatment of invasive fungal infections could lead to a better prognosis for liver transplant recipients with invasive fungal infections. "
17,87,87,Elena,YES,Invasive pulmonary aspergillosis in heart transplant recipients: Is mortality decreasing?,"Flores-Umanzor, E",31495716,2019,10.1016/j.repc.2019.08.004,Rev Port Cardiol,eng,Portugal,"                 Label=""INTRODUCTION"":Infection remains a major complication among heart transplant (HT) recipients  causing approximately 20% of deaths in the first year after transplantation. In this population  Aspergillus spp. can have various clinical presentations including invasive pulmonary aspergillosis (IPA)  with high mortality (53-78%).                 Label=""OBJECTIVES"":To establish the characteristics of IPA infection in HT recipients and their outcomes in our center.                 Label=""METHODS"":Among 328 HTs performed in our center between 1998 and 2016  we identified five cases of IPA. Patient medical records were examined and clinical variables were extracted.                 Label=""RESULTS"":All cases were male  and mean age was 62 years. The most common indication for HT was non-ischemic dilated cardiomyopathy. Productive cough was reported as the main symptom. The radiological assessment was based on chest X-ray and chest computed tomography. The most commonly reported radiographic abnormality was multiple nodular opacities in both techniques. Bronchoscopy was performed in all patients and Aspergillus fumigatus was isolated in four cases on bronchoalveolar lavage culture. Treatment included amphotericin in four patients  subsequently changed to voriconazole in three  and posaconazole in one patient  with total treatment lasting an average of 12 months. Neutropenia was found in only one patient  renal failure was observed in two patients  and concurrent cytomegalovirus infection in three patients. All patients were alive after a mean follow-up of 18 months.                 Label=""CONCLUSIONS"":IPA is a potentially lethal complication after HT. Early diagnosis and prompt initiation of aggressive treatment are the cornerstone of better survival. "
18,88,88,Elena,YES,Prevalence and outcome of invasive pulmonary aspergillosis in critically ill patients with liver cirrhosis: an observational study.,"Lahmer, T",31417154,2019,10.1038/s41598-019-48183-4,Sci Rep,eng,England,Invasive pulmonary aspergillosis (IPA) is an important cause of morbidity/mortality in critically ill patients with endstage liver disease. Therefore  aim of this study is to predict the prevalence and outcome of IPA in critically ill patients with underlying liver cirrhosis and evaluation of the necessity Glactomannan (GM) screening in serum and bronchoalveolar lavage (BAL) in this cohort. In total 12 out of 84 patients (14%) had probable IPA. The mean optical density index (ODI) bronchoalveolar lavage (BAL) GM index was 3.6<U+2009>±<U+2009>1.5 (Range: 1.7-5.7). An overall sensitivity of 90% (95% CI 86-96%) and specificity of 85% (95% CI 81-88%) was found for the BAL GM in IPA. Acute Physiology And Chronic Health Evaluation (APACHE II)  sequential organ failure assessment (SOFA) as well the model of endstage liver disease (MELD) score were significantly higher in the probable IPA group as compared to the No IPA group (26 versus 21  p<U+2009>&lt;<U+2009>0.001 and 14 versus 10  p<U+2009>&lt;<U+2009>0.044). Length of intensive care unit (ICU) stay was significantly longer in probable IPA patients (16 versus 10 days  p<U+2009>&lt;<U+2009>0.027) and mortality rate was significantly higher in probable IPA patients (100% versus 65%  p<U+2009>&lt;<U+2009>0.001) as compared to No IPA patients. APACHE II and MELD score were independently associated with higher mortality rate using multivariate logistic regression (p<U+2009>=<U+2009>0.025 and p<U+2009>=<U+2009>0.034). In conclusion  IPA has a relevant impact on outcome. Screening for IPA is indicated  easy to perform and a necessity to improve outcome.
19,96,96,Elena,YES,Invasive aspergillosis in critically ill patients: An autopsy study.,"Tejerina, EE",31177621,2019,10.1111/myc.12927,Mycoses,eng,Germany,Autopsy studies show that IA is among the most commonly missed diagnoses in critically ill patients. And  because of lack of unequivocal diagnostic criteria  a timely diagnosis remains challenging. We investigate the epidemiology of and the clinical risk factors for IA in critically ill patients. We conducted a retrospective  observational study of all consecutive ICU patients with evidence of IA in the postmortem examination. During the period of the study (25 years)  893 postmortem examinations were performed in the ICU. Twenty-five patients (2.8%) were diagnosed with IA in autopsy. Only ten (40%) were classified as IA ante-mortem  based on the initiation of antifungal treatment. The most common comorbid conditions were corticosteroid treatment (n = 14  56%)  chronic obstructive pulmonary disease (COPD) (n = 11  44%)  immunosuppression (n = 6  24%) and haematological malignancy (n = 5  20%). Twenty-three patients (92%) had three or more risk factors for IA. Critically ill patients with pulmonary infiltrates  treated with high doses intravenous corticosteroids (even for a short period of time)  particularly COPD patients who developed worsening respiratory insufficiency despite appropriate treatment were at the highest risk of IA.
20,99,99,Elena,YES,Genetic Polymorphisms Affecting IDO1 or IDO2 Activity Differently Associate With Aspergillosis in Humans.,"Napolioni, V",31134053,2019,10.3389/fimmu.2019.00890,Front Immunol,eng,Switzerland,Aspergillus is the causative agent of human diseases ranging from asthma to invasive infection. Genetic and environmental factors are crucial in regulating the interaction between the host and Aspergillus. The role played by the enzyme indoleamine 2 3-dioxygenase 1 (IDO1)  which catalyzes the first and rate-limiting step of tryptophan catabolism along the kynurenine pathway  is increasingly being recognized  but whether and how genetic variation of IDO1 influences the risk of aspergillosis in susceptible patients is incompletely understood. In addition  whether the closely related protein IDO2 plays a similar role remains unexplored. In the present study  we performed genetic association studies in two different cohorts of susceptible patients [cystic fibrosis (CF) patients and recipients of hematopoietic stem cell transplantation (HSCT)]  and identified IDO1 polymorphisms that associate with the risk of infection in both cohorts. By using human bronchial epithelial cells and PBMC from CF and HSCT patients  respectively  we could show that the IDO1 polymorphisms appeared to down-modulate IDO1 expression and function in response to IFN<U+03B3> or Aspergillus conidia  and to associate with an increased inflammatory response. In contrast  IDO2 polymorphisms  including variants known to profoundly affect protein expression and function  were differently associated with the risk of aspergillosis in the two cohorts of patients as no association was found in CF patients as opposed to recipients of HSCT. By resorting to a murine model of bone marrow transplantation  we could show that the absence of IDO2 more severely affected fungal burden and lung pathology upon infection with Aspergillus as compared to IDO1  and this effect appeared to be linked to a deficit in the antifungal effector phagocytic activity. Thus  our study confirms and extends the role of IDO1 in the response to Aspergillus  and shed light on the possible involvement of IDO2 in specific clinical settings.
21,106,106,Elena,YES,Baseline Chest Computed Tomography for Early Diagnosis of Invasive Pulmonary Aspergillosis in Hemato-oncological Patients: A Prospective Cohort Study.,"Bitterman, R",30855077,2019,10.1093/cid/ciz194,Clin Infect Dis,eng,United States,Invasive pulmonary aspergillosis (IPA) has dire consequences in hemato-oncological patients. We report our experience with performing routine baseline chest computed tomography for early diagnosis of IPA. We found high rates of proven or probable IPA diagnosed on admission among patients with newly diagnosed acute myeloid leukemia.
22,108,108,Elena,YES,Invasive pulmonary aspergillosis in cirrhotic patients: analysis of a 10-year clinical experience.,"Levesque, E",30778699,2019,10.1186/s13613-019-0502-2,Ann Intensive Care,eng,Germany,"                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Cirrhosis is not recognised as one of the main risk factors of invasive pulmonary aspergillosis (IPA)  although its prevalence is increasing. The aim of our study was to identify factors for IPA in such patients with a positive Aspergillus sp. culture in respiratory samples and to evaluate its impact on outcome.                 Label=""METHODS"" NlmCategory=""METHODS"":We conducted a monocentric retrospective study between January 2005 and December 2015. All cirrhotic patients hospitalised in our liver ICU with a positive Aspergillus sp. respiratory sample were included. These patients were case-matched with cirrhotic patients without positive Aspergillus respiratory sample. Finally  the patients were classified as having putative aspergillosis or colonisation according to the criteria described previously.                 Label=""RESULTS"" NlmCategory=""RESULTS"":In total  986 cirrhotic patients were admitted to ICU during the study period. Among these  sixty patients had a positive Aspergillus sp. respiratory sample. Chronic obstructive pulmonary disease (COPD) comorbidity and organ supports were significantly associated with Aspergillus colonisation. Seventeen patients (28%) were diagnosed as proven or putative IPA and 43 were considered as colonised by Aspergillus sp. The median delay between ICU admission and an IPA diagnosis was 2 [2-24] days. Only COPD was predictive of the presence of IPA (OR 6.44; 95% CI 1.43-28.92; p<U+2009>=<U+2009>0.0151) in patients with a positive Aspergillus sp. culture. The probability of in-hospital mortality was 71% in the IPA group versus 19% in the colonisation group (p<U+2009>=<U+2009>0.0001).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":Patients with cirrhosis can be at risk of IPA  especially with COPD. Antifungal agents should be given as soon as possible mainly in cirrhotic patients with COPD. "
23,114,114,Elena,NO,A novel diagnosis scoring model to predict invasive pulmonary aspergillosis in the intensive care unit.,"Rozaliyani, A",30723858,2019,10.15537/smj.2019.2.22940,Saudi Med J,eng,Saudi Arabia,"                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":To improve the quality of invasive pulmonary aspergillosis (IPA) management for intensive care unit (ICU) patients using a practical diagnostic scoring model.                 Label=""METHODS"" NlmCategory=""METHODS"":This nested case-control study aimed to determine the incidence of IPA in 405 ICU patients  between July 2012 and June 2014  at 6 hospitals in Jakarta  Indonesia. Phenotypic identifications and galactomannan (GM) tests of sera and lung excreta were performed in mycology laboratory  Parasitology Department  Faculty of Medicine  Universitas Indonesia in Jakarta  Indonesia.                 Label=""RESULTS"" NlmCategory=""RESULTS"":The incidence of IPA in the ICUs was 7.7% (31 of 405 patients). A scoring model used for IPA diagnosis showed 4 variables as the most potential risk factors: lung excreta GM index (score 2)  solid organ malignancy (score 2)  pulmonary tuberculosis (score 2)  and systemic corticosteroids (score 1). Patients were included in a high-risk group if their score was greater than 2  and in a low-risk group if their score was less than 2.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":This study provides a novel diagnosis scoring model to predict IPA in ICU patients. Using this model  a more rapid diagnosis and treatment of IPA may be possible. The application of the diagnosis scoring should be preceded by specified pre-requisites. "
24,117,117,Elena,YES,Invasive pulmonary aspergillosis in patients with influenza infection: A retrospective study and review of the literature.,"Huang, L",30661296,2019,10.1111/crj.12995,Clin Respir J,eng,England,"                 Label=""INTRODUCTION"" NlmCategory=""BACKGROUND"":There has been a rapid increase in the number of influenza and invasive pulmonary aspergillosis (IPA) co-infection.                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":To explore the risk factors and predictors of a poor prognosis in influenza and IPA co-infection.                 Label=""METHODS"" NlmCategory=""METHODS"":We included patients with confirmed influenza during the 2017-2018 influenza season and cases of influenza and IPA co-infection in the literature.                 Label=""RESULTS"" NlmCategory=""RESULTS"":A total of 64 patients with influenza infection were admitted to ICU. Of these patients  18 were co-infected with IPA. Others were assigned to the control group (n = 46). A total of 45 patients from the literature were added to the IPA group (n = 63). A multivariate logistic regression suggested that influenza patients who were given steroids after ICU admission  who had a white blood count (WBC) of more than 10*109 /L on ICU admission and whose CT findings manifested as multiple nodules and cavities might have a higher risk of developing IPA. Compared to survivors  non-survivors had higher sequential organ failure assessment (SOFA) scores (16 ± 4 points vs 8 ± 4 points  P &lt; 0.001)  lower CD4+ T cell counts on ICU admission [315 (83-466) cells/µL vs 152 (50-220) cells/µL  P = 0.031] and more requirement extracorporeal membrane oxygenation (ECMO) support [13 (50%) vs 7 (18.9%)  P = 0.015].                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Influenza patients who are given steroids after ICU admission  who have WBCs of greater than 10*109 /L on ICU admission  and whose CT imaging shows multiple nodules and cavities might have a high risk of IPA. Higher SOFA scores  CD4+ T cell counts lower than 200 cells/µL on ICU admission and more ECMO requirement might be predictors of a poor prognosis. "
25,118,118,Elena,NO,'Real-life' analysis of the role of antifungal prophylaxis in preventing invasive aspergillosis in AML patients undergoing consolidation therapy: Sorveglianza Epidemiologica Infezioni nelle Emopatie (SEIFEM) 2016 study.,"Del Principe, MI",30649413,2019,10.1093/jac/dky550,J Antimicrob Chemother,eng,England,"                 Label=""BACKGROUND"":We evaluated the incidence of proven/probable invasive aspergillosis (IA) and the role of antifungal prophylaxis (AP) in a 'real-life' setting of patients with AML receiving intensive consolidation therapy.                 Label=""METHODS"":Cases of IA  observed during consolidation in adult/paediatric patients with AML between 2011 and 2015  were retrospectively collected in a multicentre Italian study.                 Label=""RESULTS"":Of 2588 patients  56 (2.2%) developed IA [43 probable (1.7%) and 13 proven (0.5%)]. IA was diagnosed in 34 of 1137 (2.9%) patients receiving no AP and in 22 of 1451 (1.5%) who were given AP (P<U+205F>=<U+205F>0.01). Number-needed-to-treat calculation indicates that  on average  71 patients should have received AP (instead of no AP) for one additional patient to not have IA. Initial antifungal therapy was 'pre-emptive' in 36 (64%) patients and 'targeted' in 20 (36%) patients. A good response to first-line therapy was observed in 26 (46%) patients  mainly those who received AP [16 of 22 (73%) versus 10 of 34 (29%); P<U+205F>=<U+205F>0.001]. The overall mortality rate and the mortality rate attributable to IA by day 120 were 16% and 9%  respectively. In multivariate analysis  age =60<U+2009>years (OR<U+205F>=<U+205F>12.46  95% CI<U+205F>=<U+205F>1.13-136.73; P<U+205F>=<U+205F>0.03) and high-dose cytarabine treatment (OR<U+205F>=<U+205F>10.56  95% CI<U+205F>=<U+205F>1.95-116.74; P<U+205F>=<U+205F>0.04) independently affected outcome.                 Label=""CONCLUSIONS"":In our experience  AP appears to prevent IA from occurring during consolidation. However  although the incidence of IA was low  mortality was not negligible among older patients. Further prospective studies should be carried out particularly in elderly patients treated with high-dose cytarabine to confirm our data and to identify subsets of individuals who may require AP. "
26,136,136,Elena,NO,Invasive pulmonary aspergillosis in patients with solid tumours: risk factors and predictors of clinical outcomes.,"Dandachi, D",30230385,2018,10.1080/07853890.2018.1518581,Ann Med,eng,England,"                 Label=""BACKGROUND"":The characteristics and management of invasive pulmonary aspergillosis (IPA) in patients with hematologic malignancies are well known  but IPA in patients with solid tumours is not well described.                 Label=""METHODS"":We retrospectively reviewed all Aspergillus-positive cultures at a tertiary cancer center during 2004-2017. We identified 101 patients with IPA and solid tumours. We analyzed the association between clinical features and treatment and 12-week mortality and response to antifungal therapy.                 Label=""RESULTS"":Fifty-one patients had lung cancer  77 had underlying lung disease  47 received chest radiation and 33 had chronic obstructive pulmonary disease. Aspergillus fumigatus was the most common type isolated (71%); 68 patients (70%) were treated with voriconazole monotherapy. Independent risk factors for 12-week mortality included receiving steroids within 30 days of diagnosis (hazard ratio 2.2  95% confidence interval [CI]: 1.1-4.6; p<U+2009>=<U+2009>.03) and chest radiotherapy (hazard ratio 2.6  95% CI: 1.2-5.5; p<U+2009>=<U+2009>.01). In multivariate analysis  a positive fungal stain was associated with lower odds of a successful response (odds ratio 0.2; 95% CI: 0.05-0.75; p<U+2009>=<U+2009>.02)  whereas voriconazole treatment was associated with higher odds (odds ratio 10.1; 95% CI: 2.1-48.5; p<U+2009>&lt;<U+2009>.01).                 Label=""CONCLUSIONS"":IPA should be considered in patients with solid tumours  particularly those with underlying lung disease. Key messages Invasive pulmonary aspergillosis should be considered in patients with solid tumours  particularly those with underlying lung disease  lung cancer and those who received chest radiotherapy. Most of the patients with invasive pulmonary aspergillosis and solid tumours presented with nonspecific symptoms and signs as well as nonspecific CT findings. Unlike patients with hematologic malignancies  fever and hemoptysis were not predominant symptoms and the classical halo sign and the air-crescent sign were not described. Independent risk factors for 12-week mortality included receiving steroids within 30 days of diagnosis and chest radiotherapy. In multivariate analysis  a positive fungal stain was associated with lower odds of a successful response to antifungal therapy  whereas voriconazole treatment was associated with higher odds. "
27,137,137,Elena,NO,Invasive Pulmonary Aspergillosis: Risks for Acquisition and Death in a Community Hospital.,"Lane, M",30227087,2018,10.1089/sur.2018.045,Surg Infect (Larchmt),eng,United States,"                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Recent cases of hospital-acquired (HA) aspergillosis on our Trauma Service raised the question of whether this represented an outbreak or just increased case identification.                 Label=""PATIENTS AND METHODS"" NlmCategory=""METHODS"":After Institutional Review Board approval  we performed a retrospective analysis of all 117 patients with positive pulmonary Aspergillus cultures at Grand Strand Medical Center from 2010 through 2016. The diagnosis of community-acquired (CA) invasive pulmonary aspergillosis (IPA) was determined when patients were admitted with a pneumonia and the diagnosis was made within the first week of hospitalization.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Of patients with fungus cultures (3929)  3% (117) were positive for Aspergillus. More than 70% (84) of patients were colonized. The remaining 33 patients were treated for IPA. Twenty-seven patients had chronic respiratory problems and presented with a new lower respiratory illness; 23 had CA IPA diagnosed within the first week of admission with 17% mortality rate; four patients had a delayed diagnosis (probable CA) with a 75% mortality rate. The six remaining patients all underwent a surgical procedure and were suspected to have HA aspergillosis. There was a significantly higher rate of HA in the surgical subset in comparison with all nonsurgical patients (p<U+2009>&lt;<U+2009>0.03). Patients treated for IPA were more likely to be receiving high dose prednisone (&gt;20<U+2009>mg/day  p<U+2009>&lt;<U+2009>0.004) and their mortality rate was significantly higher than colonized patients (27.3% vs. 9.5%  p<U+2009>&lt;<U+2009>0.026). Patients with HA IPA were divided evenly over the years of the study period and not thought to represent an outbreak.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Aspergillus infection is an endemic infection in this region of the southern Atlantic states and may occur in patients with major trauma as well as patients with chronic pulmonary diseases. Our data support the concept that there were no breaches in air quality to cause the IPA. Aggressive fungal therapy should be considered in all at-risk patients. "
28,141,141,Elena,MAYBE,Clinical risk factors for invasive aspergillosis in lung transplant recipients: Results of an international cohort study.,"Aguilar, CA",30139546,2018,10.1016/j.healun.2018.06.008,J Heart Lung Transplant,eng,United States,"                 Label=""BACKGROUND"":Invasive aspergillosis (IA) is a frequent complication in lung transplant recipients (LTRs). Clinical risk factors for IA have not been fully characterized  especially in the era of extensive anti-fungal prophylaxis. The primary objective of this study was to evaluate the clinical risk factors associated with IA in LTRs. The secondary objective was to assess the mortality in LTRs who had at least 1 episode of IA compared with LTRs who never had experienced IA.                 Label=""METHODS"":We conducted an international  multicenter  retrospective cohort study of 900 consecutive adults who received lung transplants between 2005 and 2008 with 4years of follow-up. Risk factors associated with IA were identified using univariate and multiple regression Cox proportional hazards models.                 Label=""RESULTS"":Anti-fungal prophylaxis was administered to 61.7% (555 of 900) of patients  and 79 patients developed 115 episodes of IA. The rate to development of the first episode was 29.6 per 1 000 person-years. Aspergillus fumigatus was the most common species isolated (63% [72 of 115 episodes]). Through multivariate analysis  significant risk factors identified for IA development were single lung transplant (hazard ratio  1.84; 95% confidence interval  1.09-3.10; p<U+202F>=<U+202F>0.02 ) and colonization with Aspergillus at 1 year post-transplantation (hazard ratio  2.11; 95% confidence interval  1.28-3.49; p<U+202F>=<U+202F>0.003 ). Cystic fibrosis  pre-transplant colonization with Aspergillus spp  and use of anti-fungal prophylaxis were not significantly associated with the development of IA. Time-dependent analysis showed IA was associated with higher mortality rates.                 Label=""CONCLUSION"":Incidence of IA remains high in LTRs. Single-lung transplant and airway colonization with Aspergillus spp. within 1 year post-transplant were significantly associated with IA. "
